sample	experiment	stage	daylength	replicate	sex	family
P5052_101_S39	P5052_101_S39	III	SD	r1	na1	f2
P5052_102_S27	P5052_102_S27	V	SD	r4	M	f2
P5052_103_S28	P5052_103_S28	V	SD	r7	F	f2
P5052_104_S29	P5052_104_S29	P	SD	r10	M	f2
P5052_105_S30	P5052_105_S30	P	SD	r13	F	f2
P5052_109_S40	P5052_109_S40	III	SD	r2	na2	f10
P5052_110_S41	P5052_110_S41	V	SD	r5	M	f10
P5052_111_S31	P5052_111_S31	V	SD	r8	F	f10
P5052_112_S32	P5052_112_S32	P	SD	r11	M	f10
P5052_113_S33	P5052_113_S33	P	SD	r14	F	f10
P5052_117_S42	P5052_117_S42	III	SD	r3	na3	f11
P5052_118_S43	P5052_118_S43	V	SD	r6	M	f11
P5052_119_S44	P5052_119_S44	V	SD	r9	F	f11
P5052_120_S45	P5052_120_S45	P	SD	r12	M	f11
P5052_121_S46	P5052_121_S46	P	SD	r15	F	f11
P5052_201_S47	P5052_201_S47	III	LD	r16	na4	f2
P5052_202_S48	P5052_202_S48	V	LD	r19	M	f2
P5052_203_S49	P5052_203_S49	V	LD	r22	F	f2
P5052_204_S34	P5052_204_S34	P	LD	r25	M	f2
P5052_205_S35	P5052_205_S35	P	LD	r28	F	f2
P5052_209_S50	P5052_209_S50	III	LD	r17	na5	f10
P5052_210_S51	P5052_210_S51	V	LD	r20	M	f10
P5052_211_S52	P5052_211_S52	V	LD	r23	F	f10
P5052_212_S36	P5052_212_S36	P	LD	r26	M	f10
P5052_213_S53	P5052_213_S53	P	LD	r29	F	f10
P5052_217_S54	P5052_217_S54	III	LD	r18	na6	f11
P5052_218_S55	P5052_218_S55	V	LD	r21	M	f11
P5052_219_S56	P5052_219_S56	V	LD	r24	F	f11
P5052_220_S57	P5052_220_S57	P	LD	r27	M	f11
P5052_221_S58	P5052_221_S58	P	LD	r30	F	f11
P5052_225_S37	P5052_225_S37	A	LD	r31	F	f2
P5052_226_S59	P5052_226_S59	A	LD	r32	F	f6
P5052_227_S38	P5052_227_S38	A	LD	r33	F	f10
P5052_233_S60	P5052_233_S60	A	LD	r34	M	f2
P5052_234_S61	P5052_234_S61	A	LD	r35	M	f6
P5052_235_S62	P5052_235_S62	A	LD	r36	M	f6
